Date,Category,Amount,Payment Method,Description
10-06-2023,Expense,442,Bkash,Groceries 
15-07-2024,Income,570,Credit Card,Rent 
10-08-2024,Income,841,Cash,Rent 
26-07-2024,Expense,254,Credit Card,Groceries 
21-11-2023,Income,161,Bkash,Salary 
02-05-2023,Income,994,Nagad,Rent 
17-12-2023,Income,523,Nagad,Groceries 
23-10-2024,Expense,231,Credit Card,Transfer 
23-07-2024,Income,217,Credit Card,Transfer 
25-04-2024,Income,117,Nagad,Salary 
23-12-2023,Expense,575,Nagad,Groceries 
05-07-2023,Income,844,Bkash,Transfer 
20-06-2023,Expense,508,Cash,Shopping 
23-11-2024,Expense,835,Cash,Transfer 
02-01-2023,Income,237,Bkash,Salary 
11-05-2024,Income,436,Bkash,Transfer 
28-12-2024,Expense,170,Cash,Groceries 
21-11-2023,Income,391,Bkash,Transfer 
22-11-2023,Expense,693,Cash,Salary 
14-08-2024,Expense,993,Credit Card,Groceries 
25-09-2023,Expense,987,Cash,Rent 
21-10-2023,Income,370,Cash,Salary 
03-03-2024,Expense,376,Nagad,Groceries 
08-07-2023,Income,546,Credit Card,Transfer 
14-10-2023,Expense,898,Credit Card,Groceries 
20-02-2024,Expense,664,Credit Card,Groceries 
25-10-2023,Income,155,Nagad,Transfer 
21-01-2023,Income,101,Bkash,Transfer 
27-07-2024,Expense,797,Bkash,Shopping 
28-12-2023,Expense,971,Cash,Transfer 
03-08-2024,Expense,686,Nagad,Shopping 
20-07-2023,Income,563,Cash,Rent 
19-09-2023,Expense,958,Cash,Groceries 
08-04-2023,Expense,924,Cash,Shopping 
14-05-2024,Expense,879,Nagad,Salary 
05-05-2023,Income,770,Bkash,Rent 
14-03-2023,Expense,979,Credit Card,Groceries 
23-05-2024,Expense,495,Nagad,Groceries 
18-06-2024,Expense,797,Nagad,Rent 
05-02-2024,Income,370,Bkash,Rent 
28-09-2024,Expense,711,Cash,Shopping 
21-07-2024,Expense,562,Bkash,Groceries 
18-04-2024,Expense,183,Credit Card,Groceries 
15-06-2023,Income,719,Credit Card,Rent 
06-10-2023,Expense,367,Cash,Rent 
12-07-2023,Income,837,Bkash,Groceries 
01-06-2023,Expense,522,Bkash,Rent 
18-01-2024,Income,149,Nagad,Groceries 
06-07-2024,Expense,475,Bkash,Groceries 
11-10-2024,Income,974,Credit Card,Rent 
28-03-2024,Expense,491,Credit Card,Groceries 
08-03-2024,Expense,563,Bkash,Salary 
08-11-2024,Income,550,Nagad,Shopping 
01-12-2024,Income,688,Cash,Salary 
04-09-2023,Income,216,Credit Card,Rent 
06-06-2024,Income,699,Bkash,Groceries 
04-07-2024,Expense,404,Cash,Groceries 
07-08-2024,Income,630,Nagad,Rent 
03-06-2024,Expense,293,Cash,Rent 
01-07-2024,Expense,596,Nagad,Groceries 
02-10-2024,Income,602,Cash,Groceries 
25-11-2023,Income,651,Credit Card,Shopping 
04-03-2024,Expense,778,Bkash,Shopping 
25-03-2023,Income,274,Cash,Groceries 
06-03-2024,Expense,113,Bkash,Rent 
26-09-2023,Expense,980,Nagad,Groceries 
25-04-2023,Expense,948,Bkash,Groceries 
16-09-2023,Income,692,Cash,Transfer 
17-04-2024,Expense,171,Nagad,Shopping 
02-02-2023,Expense,757,Bkash,Shopping 
08-01-2023,Income,898,Nagad,Salary 
15-12-2023,Income,988,Cash,Shopping 
18-09-2024,Expense,114,Credit Card,Shopping 
18-02-2024,Income,648,Cash,Salary 
01-11-2024,Income,460,Nagad,Salary 
16-08-2023,Income,646,Cash,Salary 
11-07-2024,Income,501,Cash,Groceries 
20-09-2023,Income,835,Credit Card,Transfer 
08-12-2024,Income,231,Cash,Salary 
20-01-2024,Income,525,Nagad,Groceries 
08-11-2024,Income,460,Credit Card,Salary 
20-12-2023,Expense,768,Cash,Groceries 
13-04-2024,Income,550,Credit Card,Transfer 
16-02-2023,Income,717,Cash,Salary 
07-10-2023,Expense,422,Nagad,Transfer 
08-09-2024,Income,849,Bkash,Salary 
25-07-2024,Income,364,Cash,Shopping 
27-05-2024,Income,988,Bkash,Rent 
24-04-2023,Expense,385,Cash,Salary 
21-07-2024,Income,977,Cash,Groceries 
06-07-2023,Expense,295,Bkash,Transfer 
10-01-2024,Income,443,Bkash,Transfer 
12-06-2024,Expense,208,Cash,Shopping 
19-09-2024,Expense,307,Nagad,Groceries 
27-06-2024,Income,745,Cash,Transfer 
10-08-2024,Expense,356,Credit Card,Rent 
14-10-2023,Income,264,Cash,Shopping 
20-04-2024,Expense,338,Credit Card,Transfer 
04-08-2023,Expense,756,Credit Card,Transfer 
03-12-2023,Expense,321,Nagad,Rent 
24-06-2023,Expense,793,Credit Card,Rent 
23-12-2023,Expense,498,Credit Card,Rent 
20-02-2024,Expense,609,Nagad,Shopping 
28-05-2023,Expense,232,Cash,Rent 
27-07-2023,Expense,746,Credit Card,Transfer 
02-07-2023,Income,386,Credit Card,Shopping 
27-12-2023,Expense,869,Cash,Rent 
19-01-2023,Expense,995,Bkash,Salary 
13-05-2024,Income,881,Nagad,Transfer 
24-03-2024,Income,249,Nagad,Transfer 
25-10-2024,Expense,243,Bkash,Groceries 
02-07-2023,Income,476,Bkash,Rent 
27-02-2024,Expense,778,Credit Card,Salary 
21-08-2024,Expense,139,Bkash,Shopping 
13-10-2023,Expense,316,Cash,Rent 
13-01-2024,Income,533,Nagad,Shopping 
27-04-2023,Expense,952,Credit Card,Rent 
28-12-2024,Expense,226,Cash,Transfer 
19-01-2023,Income,437,Bkash,Rent 
17-06-2024,Expense,619,Credit Card,Salary 
08-09-2024,Income,395,Nagad,Shopping 
02-10-2024,Income,308,Bkash,Groceries 
05-02-2024,Income,243,Nagad,Transfer 
24-03-2024,Income,321,Bkash,Shopping 
13-09-2024,Income,170,Nagad,Groceries 
18-08-2024,Expense,519,Nagad,Salary 
12-07-2023,Expense,230,Bkash,Rent 
09-08-2023,Expense,232,Nagad,Rent 
06-08-2024,Expense,761,Nagad,Salary 
21-12-2023,Income,482,Bkash,Rent 
06-07-2024,Income,631,Bkash,Salary 
04-03-2023,Income,806,Nagad,Groceries 
09-09-2024,Expense,529,Credit Card,Rent 
14-01-2024,Income,524,Credit Card,Groceries 
13-06-2024,Expense,635,Cash,Salary 
01-01-2024,Income,482,Bkash,Shopping 
09-03-2024,Income,679,Cash,Groceries 
25-03-2024,Expense,298,Bkash,Salary 
09-06-2023,Income,999,Bkash,Groceries 
07-04-2023,Expense,687,Credit Card,Groceries 
06-03-2024,Income,671,Bkash,Salary 
14-02-2023,Income,141,Bkash,Shopping 
07-04-2023,Income,665,Cash,Transfer 
18-01-2024,Expense,286,Credit Card,Shopping 
25-09-2023,Income,868,Nagad,Shopping 
02-07-2024,Income,955,Nagad,Shopping 
15-11-2024,Income,385,Cash,Groceries 
28-03-2024,Income,394,Cash,Shopping 
23-04-2023,Expense,867,Cash,Shopping 
25-08-2023,Expense,771,Nagad,Groceries 
16-04-2023,Income,690,Bkash,Rent 
24-11-2023,Expense,354,Bkash,Salary 
27-02-2023,Expense,826,Bkash,Shopping 
22-12-2024,Expense,497,Bkash,Transfer 
14-12-2023,Income,358,Cash,Transfer 
06-03-2023,Expense,213,Nagad,Salary 
28-10-2023,Income,182,Bkash,Transfer 
05-07-2023,Income,737,Nagad,Rent 
20-08-2024,Expense,233,Bkash,Shopping 
27-02-2024,Expense,242,Cash,Shopping 
19-01-2024,Income,331,Nagad,Groceries 
11-10-2024,Expense,626,Bkash,Shopping 
07-08-2023,Expense,305,Credit Card,Shopping 
15-06-2024,Expense,434,Bkash,Transfer 
12-06-2024,Income,557,Credit Card,Rent 
16-09-2023,Expense,518,Bkash,Salary 
23-07-2023,Expense,116,Credit Card,Shopping 
02-10-2024,Expense,261,Cash,Shopping 
10-08-2023,Expense,563,Cash,Shopping 
18-07-2024,Income,697,Bkash,Transfer 
27-11-2023,Expense,772,Nagad,Groceries 
04-07-2023,Income,149,Cash,Shopping 
05-09-2023,Income,777,Cash,Transfer 
13-08-2024,Expense,399,Credit Card,Transfer 
01-08-2024,Expense,748,Cash,Shopping 
18-12-2024,Income,842,Nagad,Salary 
27-06-2024,Income,178,Bkash,Transfer 
08-10-2024,Expense,416,Bkash,Groceries 
18-03-2024,Income,132,Credit Card,Salary 
17-12-2024,Income,352,Credit Card,Salary 
16-05-2024,Income,753,Nagad,Groceries 
13-12-2023,Expense,817,Nagad,Salary 
23-04-2024,Income,835,Cash,Groceries 
02-10-2024,Expense,664,Nagad,Rent 
27-01-2024,Income,783,Credit Card,Shopping 
22-08-2023,Income,567,Cash,Rent 
13-03-2024,Expense,656,Credit Card,Groceries 
08-12-2024,Expense,468,Credit Card,Shopping 
27-02-2023,Income,998,Nagad,Transfer 
01-11-2024,Expense,370,Credit Card,Salary 
06-05-2024,Expense,734,Nagad,Salary 
13-06-2024,Income,324,Cash,Transfer 
11-05-2023,Expense,324,Nagad,Transfer 
28-11-2024,Income,596,Bkash,Salary 
02-11-2024,Income,471,Cash,Groceries 
19-09-2024,Expense,723,Cash,Transfer 
13-06-2023,Expense,231,Nagad,Shopping 
22-12-2024,Expense,287,Cash,Salary 
27-04-2023,Expense,625,Credit Card,Shopping 
04-10-2023,Expense,159,Bkash,Groceries 
27-03-2023,Expense,254,Credit Card,Shopping 
03-09-2023,Income,884,Cash,Groceries 
25-06-2023,Income,692,Cash,Salary 
01-02-2024,Expense,639,Credit Card,Salary 
10-01-2024,Income,784,Bkash,Rent 
22-06-2024,Income,350,Cash,Transfer 
06-08-2023,Income,990,Bkash,Transfer 
16-12-2023,Expense,906,Credit Card,Salary 
26-04-2024,Income,232,Bkash,Transfer 
13-03-2023,Income,753,Bkash,Rent 
03-07-2024,Expense,906,Bkash,Salary 
20-01-2024,Expense,735,Bkash,Transfer 
22-09-2024,Income,573,Nagad,Shopping 
02-09-2024,Income,696,Cash,Transfer 
23-08-2023,Income,887,Nagad,Shopping 
26-11-2024,Income,652,Bkash,Rent 
22-02-2024,Income,615,Bkash,Salary 
16-08-2023,Income,354,Nagad,Salary 
04-09-2023,Income,557,Cash,Groceries 
16-11-2024,Expense,662,Credit Card,Transfer 
11-04-2023,Expense,970,Nagad,Transfer 
21-10-2024,Income,386,Credit Card,Rent 
05-10-2023,Expense,976,Credit Card,Salary 
02-01-2023,Income,580,Nagad,Groceries 
27-05-2023,Income,339,Cash,Transfer 
13-10-2024,Expense,103,Credit Card,Shopping 
02-09-2023,Income,435,Credit Card,Groceries 
25-12-2023,Income,938,Bkash,Transfer 
11-05-2024,Expense,401,Bkash,Shopping 
07-02-2024,Income,871,Nagad,Groceries 
10-12-2024,Income,110,Bkash,Rent 
13-08-2024,Income,481,Cash,Salary 
10-06-2024,Income,985,Bkash,Transfer 
15-11-2024,Expense,946,Cash,Transfer 
02-03-2024,Expense,648,Bkash,Transfer 
02-12-2024,Expense,288,Cash,Rent 
07-10-2023,Expense,952,Nagad,Groceries 
28-09-2023,Income,428,Credit Card,Transfer 
18-07-2024,Income,909,Cash,Rent 
13-11-2023,Expense,756,Bkash,Rent 
18-06-2023,Income,860,Bkash,Rent 
10-02-2023,Income,113,Bkash,Shopping 
14-03-2024,Income,283,Bkash,Salary 
08-02-2023,Expense,664,Bkash,Transfer 
24-09-2023,Income,192,Nagad,Groceries 
20-08-2023,Expense,213,Cash,Salary 
02-06-2024,Expense,819,Credit Card,Transfer 
06-12-2024,Income,418,Credit Card,Shopping 
27-07-2024,Income,482,Cash,Rent 
20-11-2023,Expense,559,Bkash,Rent 
17-03-2023,Income,563,Cash,Groceries 
04-09-2024,Expense,724,Credit Card,Shopping 
27-02-2023,Income,602,Nagad,Rent 
23-05-2024,Expense,715,Bkash,Transfer 
24-02-2024,Income,439,Bkash,Groceries 
10-06-2023,Income,453,Nagad,Groceries 
02-07-2023,Expense,602,Cash,Salary 
12-11-2024,Income,746,Cash,Rent 
20-12-2024,Income,140,Credit Card,Shopping 
02-07-2024,Income,347,Bkash,Shopping 
04-10-2024,Expense,782,Credit Card,Rent 
20-12-2024,Expense,889,Cash,Groceries 
18-05-2024,Expense,699,Credit Card,Groceries 
23-11-2024,Expense,639,Nagad,Salary 
23-02-2023,Expense,131,Bkash,Shopping 
24-12-2023,Income,597,Cash,Shopping 
21-10-2023,Expense,924,Bkash,Groceries 
05-01-2024,Income,562,Credit Card,Shopping 
15-09-2023,Income,752,Cash,Shopping 
06-05-2024,Income,905,Nagad,Transfer 
07-05-2023,Income,129,Credit Card,Rent 
19-03-2024,Income,835,Nagad,Salary 
13-03-2023,Expense,402,Cash,Shopping 
26-07-2024,Income,288,Credit Card,Salary 
22-12-2023,Expense,559,Credit Card,Salary 
15-12-2023,Expense,795,Bkash,Groceries 
12-01-2024,Expense,466,Credit Card,Shopping 
26-07-2024,Income,450,Nagad,Rent 
16-07-2023,Income,643,Credit Card,Salary 
13-02-2023,Expense,965,Nagad,Groceries 
08-07-2024,Income,489,Nagad,Shopping 
26-04-2023,Income,988,Credit Card,Groceries 
22-01-2024,Expense,262,Credit Card,Salary 
25-07-2023,Income,258,Nagad,Shopping 
05-03-2024,Expense,880,Nagad,Salary 
02-08-2023,Income,430,Nagad,Rent 
15-10-2024,Income,429,Cash,Transfer 
02-02-2024,Expense,227,Nagad,Shopping 
21-12-2024,Income,253,Cash,Groceries 
11-07-2024,Expense,794,Nagad,Salary 
01-02-2024,Expense,368,Cash,Rent 
22-12-2023,Expense,365,Credit Card,Transfer 
01-07-2023,Expense,350,Cash,Groceries 
01-04-2024,Income,467,Cash,Groceries 
26-08-2023,Income,549,Nagad,Rent 
01-08-2023,Expense,479,Bkash,Rent 
04-01-2024,Income,727,Credit Card,Transfer 
10-08-2024,Income,550,Nagad,Transfer 
20-07-2024,Income,359,Credit Card,Salary 
17-04-2023,Income,171,Credit Card,Shopping 
26-10-2023,Expense,168,Nagad,Groceries 
06-05-2024,Income,556,Nagad,Shopping 
15-08-2023,Income,102,Nagad,Shopping 
21-01-2023,Income,693,Bkash,Transfer 
16-05-2023,Expense,705,Cash,Transfer 
03-12-2024,Income,446,Nagad,Groceries 
11-07-2024,Income,719,Cash,Shopping 
18-06-2024,Expense,949,Cash,Rent 
15-12-2024,Income,501,Credit Card,Groceries 
03-03-2024,Expense,658,Credit Card,Salary 
16-01-2023,Income,896,Bkash,Rent 
23-08-2024,Income,113,Cash,Salary 
23-06-2024,Expense,995,Bkash,Rent 
09-08-2023,Income,447,Credit Card,Rent 
28-10-2024,Expense,264,Credit Card,Rent 
14-02-2023,Expense,133,Bkash,Rent 
06-12-2023,Income,121,Bkash,Salary 
23-07-2023,Income,367,Cash,Transfer 
19-06-2024,Expense,626,Cash,Shopping 
19-08-2024,Income,780,Cash,Transfer 
06-05-2023,Expense,170,Nagad,Transfer 
05-06-2024,Income,697,Nagad,Shopping 
07-07-2024,Expense,381,Nagad,Transfer 
22-02-2023,Income,131,Nagad,Rent 
16-07-2023,Income,986,Bkash,Salary 
16-04-2023,Expense,556,Credit Card,Rent 
20-10-2023,Income,977,Bkash,Shopping 
04-07-2024,Expense,282,Bkash,Salary 
05-05-2023,Expense,323,Nagad,Rent 
26-04-2023,Income,982,Credit Card,Transfer 
23-11-2023,Income,159,Credit Card,Salary 
04-08-2023,Expense,577,Credit Card,Groceries 
19-11-2024,Expense,528,Cash,Groceries 
08-10-2023,Income,349,Bkash,Shopping 
13-01-2023,Income,819,Bkash,Rent 
25-01-2024,Expense,350,Bkash,Shopping 
22-03-2024,Expense,396,Credit Card,Groceries 
14-01-2023,Income,761,Nagad,Shopping 
01-10-2024,Income,241,Credit Card,Transfer 
10-10-2024,Expense,679,Bkash,Shopping 
15-03-2023,Income,812,Credit Card,Shopping 
16-10-2024,Expense,960,Credit Card,Transfer 
28-01-2024,Expense,658,Bkash,Rent 
15-02-2024,Income,225,Bkash,Transfer 
17-06-2024,Income,145,Nagad,Shopping 
03-12-2024,Income,961,Nagad,Shopping 
13-02-2024,Income,718,Cash,Transfer 
18-06-2023,Income,474,Bkash,Rent 
20-04-2024,Expense,336,Cash,Groceries 
27-10-2023,Expense,904,Credit Card,Shopping 
04-09-2024,Expense,859,Credit Card,Rent 
13-03-2023,Expense,790,Cash,Salary 
15-01-2024,Income,503,Bkash,Shopping 
05-10-2024,Income,984,Bkash,Rent 
26-10-2023,Income,474,Nagad,Salary 
28-01-2024,Income,443,Bkash,Rent 
13-11-2023,Income,696,Bkash,Shopping 
28-08-2023,Expense,511,Cash,Groceries 
22-03-2024,Income,454,Nagad,Groceries 
18-01-2023,Income,151,Bkash,Rent 
09-08-2023,Expense,724,Credit Card,Rent 
03-02-2024,Expense,785,Nagad,Rent 
21-11-2023,Expense,174,Credit Card,Shopping 
09-03-2024,Income,899,Bkash,Transfer 
17-06-2024,Income,579,Nagad,Rent 
21-04-2023,Income,424,Credit Card,Shopping 
08-07-2024,Income,735,Nagad,Salary 
17-10-2023,Expense,875,Nagad,Transfer 
11-01-2024,Income,669,Nagad,Salary 
26-09-2023,Income,460,Bkash,Salary 
25-06-2023,Income,386,Bkash,Transfer 
26-10-2024,Income,991,Credit Card,Groceries 
20-06-2023,Expense,544,Nagad,Transfer 
15-10-2023,Income,873,Bkash,Salary 
22-06-2024,Income,747,Credit Card,Salary 
27-10-2023,Expense,534,Bkash,Shopping 
01-01-2024,Expense,893,Bkash,Shopping 
03-09-2023,Expense,310,Nagad,Transfer 
24-05-2023,Expense,967,Cash,Salary 
04-05-2023,Income,455,Bkash,Rent 
15-10-2024,Income,990,Nagad,Shopping 
28-03-2023,Income,440,Cash,Groceries 
01-03-2023,Expense,907,Bkash,Transfer 
08-05-2024,Income,994,Cash,Transfer 
10-09-2024,Expense,681,Cash,Salary 
10-09-2024,Income,370,Bkash,Salary 
21-10-2023,Income,246,Bkash,Transfer 
09-05-2024,Income,601,Nagad,Groceries 
23-05-2024,Income,918,Nagad,Transfer 
26-02-2023,Expense,692,Credit Card,Rent 
22-06-2023,Expense,214,Bkash,Shopping 
26-07-2023,Expense,252,Cash,Shopping 
01-02-2023,Income,150,Bkash,Rent 
19-11-2023,Expense,844,Cash,Shopping 
20-04-2023,Income,288,Bkash,Salary 
26-07-2023,Income,674,Cash,Groceries 
27-11-2023,Income,262,Bkash,Transfer 
01-12-2023,Income,370,Bkash,Transfer 
07-07-2023,Expense,401,Cash,Salary 
07-05-2023,Income,398,Cash,Shopping 
10-10-2023,Income,238,Bkash,Groceries 
10-01-2023,Income,620,Nagad,Salary 
05-10-2024,Expense,118,Cash,Shopping 
22-02-2024,Expense,570,Nagad,Transfer 
28-11-2024,Income,555,Bkash,Groceries 
05-01-2024,Expense,346,Nagad,Rent 
08-04-2024,Expense,248,Nagad,Shopping 
02-03-2023,Expense,563,Cash,Salary 
02-12-2023,Income,781,Bkash,Transfer 
07-09-2024,Income,452,Bkash,Groceries 
04-06-2024,Income,923,Credit Card,Rent 
13-01-2023,Income,450,Bkash,Shopping 
27-03-2024,Income,925,Cash,Salary 
01-01-2024,Income,559,Bkash,Rent 
26-10-2024,Expense,382,Credit Card,Transfer 
20-07-2023,Income,823,Nagad,Shopping 
10-08-2024,Expense,847,Bkash,Salary 
20-11-2023,Income,398,Cash,Transfer 
25-01-2024,Income,643,Bkash,Rent 
13-09-2024,Expense,344,Bkash,Rent 
10-12-2024,Income,237,Credit Card,Shopping 
15-01-2024,Expense,132,Nagad,Salary 
03-02-2023,Income,188,Nagad,Shopping 
24-11-2023,Income,262,Bkash,Shopping 
09-12-2023,Expense,814,Nagad,Shopping 
05-12-2023,Expense,321,Credit Card,Transfer 
15-12-2024,Income,387,Nagad,Groceries 
01-07-2024,Income,531,Nagad,Rent 
09-05-2023,Income,612,Credit Card,Salary 
12-04-2024,Income,279,Nagad,Rent 
16-06-2023,Income,366,Bkash,Salary 
18-04-2023,Income,804,Cash,Shopping 
11-09-2024,Expense,810,Cash,Salary 
20-01-2023,Expense,516,Nagad,Shopping 
04-11-2024,Income,865,Credit Card,Salary 
04-06-2024,Income,394,Cash,Rent 
27-11-2024,Income,204,Nagad,Transfer 
08-07-2024,Expense,146,Credit Card,Groceries 
17-09-2024,Expense,211,Nagad,Shopping 
19-05-2024,Income,998,Bkash,Rent 
26-05-2024,Expense,539,Credit Card,Salary 
25-12-2024,Expense,204,Nagad,Groceries 
12-02-2024,Expense,213,Bkash,Rent 
06-08-2024,Income,471,Cash,Salary 
01-03-2023,Income,335,Bkash,Groceries 
01-04-2024,Expense,947,Credit Card,Salary 
08-10-2023,Income,665,Bkash,Rent 
15-05-2024,Expense,664,Credit Card,Transfer 
27-02-2023,Expense,906,Nagad,Transfer 
23-08-2024,Income,420,Credit Card,Groceries 
06-01-2023,Expense,697,Cash,Salary 
28-12-2024,Expense,406,Cash,Transfer 
02-01-2024,Expense,646,Cash,Groceries 
16-01-2024,Income,424,Credit Card,Groceries 
16-03-2024,Expense,702,Bkash,Shopping 
26-11-2023,Expense,402,Credit Card,Rent 
10-01-2023,Expense,186,Bkash,Transfer 
16-11-2024,Expense,635,Cash,Groceries 
22-10-2023,Income,781,Nagad,Groceries 
07-11-2023,Income,779,Nagad,Rent 
13-06-2023,Expense,372,Nagad,Groceries 
21-07-2023,Expense,336,Nagad,Rent 
24-03-2024,Expense,756,Nagad,Shopping 
24-04-2023,Expense,793,Bkash,Rent 
05-06-2023,Expense,431,Nagad,Shopping 
24-08-2024,Expense,609,Credit Card,Salary 
12-01-2023,Expense,646,Credit Card,Transfer 
12-10-2024,Expense,565,Credit Card,Shopping 
21-11-2023,Income,549,Bkash,Groceries 
17-03-2024,Expense,253,Cash,Rent 
12-08-2023,Expense,505,Cash,Rent 
25-03-2023,Income,297,Cash,Groceries 
12-11-2023,Income,296,Credit Card,Shopping 
27-10-2023,Expense,945,Nagad,Groceries 
16-08-2023,Expense,463,Bkash,Rent 
13-03-2024,Expense,134,Credit Card,Groceries 
15-09-2023,Expense,875,Bkash,Shopping 
25-10-2023,Income,555,Bkash,Groceries 
16-07-2023,Expense,221,Bkash,Salary 
27-07-2024,Income,608,Nagad,Transfer 
18-03-2024,Income,940,Cash,Salary 
28-04-2024,Expense,346,Bkash,Groceries 
25-06-2024,Expense,396,Nagad,Transfer 
24-10-2023,Expense,883,Credit Card,Shopping 
26-06-2024,Expense,887,Credit Card,Shopping 
02-03-2024,Expense,948,Bkash,Transfer 
11-02-2023,Income,482,Nagad,Transfer 
17-01-2024,Expense,576,Bkash,Transfer 
07-11-2024,Income,884,Bkash,Groceries 
04-07-2023,Expense,919,Nagad,Rent 
09-05-2024,Income,863,Cash,Transfer 
11-05-2023,Income,594,Cash,Shopping 
26-07-2023,Expense,197,Credit Card,Shopping 
27-07-2023,Expense,323,Credit Card,Rent 
27-06-2024,Income,675,Bkash,Rent 
17-02-2024,Expense,789,Cash,Groceries 
28-06-2023,Expense,762,Nagad,Salary 
12-05-2024,Expense,646,Bkash,Transfer 
16-01-2023,Expense,685,Credit Card,Groceries 
03-12-2023,Income,629,Nagad,Transfer 
05-05-2023,Income,128,Nagad,Rent 
20-07-2023,Income,192,Cash,Salary 
09-12-2024,Expense,428,Nagad,Groceries 
20-07-2024,Income,139,Bkash,Groceries 
09-05-2024,Income,773,Bkash,Salary 
16-03-2023,Income,924,Nagad,Groceries 
23-03-2023,Expense,160,Cash,Groceries 
14-10-2023,Expense,622,Cash,Salary 
12-11-2024,Income,785,Cash,Salary 
09-11-2023,Expense,112,Bkash,Shopping 
03-10-2024,Expense,946,Nagad,Groceries 
14-06-2024,Expense,718,Bkash,Groceries 
27-07-2023,Expense,337,Credit Card,Groceries 
18-06-2023,Expense,935,Bkash,Shopping 
12-09-2024,Income,972,Credit Card,Transfer 
23-06-2023,Expense,762,Credit Card,Groceries 
16-02-2024,Income,429,Bkash,Rent 
16-03-2023,Income,373,Nagad,Transfer 
02-10-2024,Expense,389,Bkash,Transfer 
27-06-2024,Income,445,Cash,Rent 
20-02-2023,Expense,149,Cash,Rent 
26-02-2023,Income,774,Cash,Rent 
15-07-2024,Expense,692,Credit Card,Groceries 
01-11-2023,Income,364,Bkash,Groceries 
09-03-2024,Income,410,Cash,Transfer 
01-05-2024,Income,871,Credit Card,Transfer 
05-08-2024,Expense,786,Bkash,Salary 
02-02-2024,Income,714,Credit Card,Groceries 
04-10-2023,Income,276,Nagad,Shopping 
26-07-2024,Income,789,Cash,Groceries 
28-05-2023,Expense,999,Nagad,Groceries 
08-03-2024,Expense,815,Cash,Shopping 
06-01-2024,Expense,806,Bkash,Salary 
08-03-2024,Income,540,Credit Card,Shopping 
11-01-2024,Income,247,Cash,Transfer 
16-06-2024,Expense,632,Bkash,Shopping 
10-11-2023,Income,422,Credit Card,Rent 
09-07-2024,Income,270,Nagad,Shopping 
20-01-2023,Expense,162,Bkash,Shopping 
14-04-2024,Expense,248,Cash,Salary 
